id,Gougouhema_0,Djero_0,Dargue_0,Dargue_4
2002-01-01,0.0,0.0,0.0,0.0
2002-01-06,0.0,0.0,0.0,0.0
2002-01-11,0.0,0.0,0.0,0.0
2002-01-16,0.0,0.0,0.0,0.0
2002-01-21,0.0,0.0,7.490796252190626e-06,7.572617197299462e-06
2002-01-26,1.2732778387203325e-08,1.9047520893877845e-08,7.811117464197201e-05,7.896420076995238e-05
2002-02-01,0.0,0.0,0.0,0.0
2002-02-06,0.0,0.0,0.0,0.0
2002-02-11,0.0,0.0,0.0,0.0
2002-02-16,0.00010033914441009983,0.00015298408106900752,0.0001111594693865931,0.00011172121744170297
2002-02-21,0.008861718699336052,0.01341640017926693,0.005132769055751706,0.005131120896931556
2002-02-26,0.014442096464335918,0.02181302383542061,0.008179986679875904,0.008174107276807618
2002-03-01,0.03924315422773361,0.041423384100198746,0.004021863501378068,0.003975216376069119
2002-03-06,0.055638015270233154,0.06549503654241562,0.013406922537345023,0.01334785447636912
2002-03-11,0.06357968598604202,0.07646886259317398,0.018707506859045684,0.018644983174153685
2002-03-16,0.06899041682481766,0.08597388863563538,0.02645792198538338,0.026399795840014065
2002-03-21,0.08310968428850174,0.12014143913984299,0.05314089811879968,0.053106235631938954
2002-03-26,0.14215053617954254,0.2304692566394806,0.14359503738893842,0.14362533624154572
2002-04-01,0.0,0.20571421086788177,0.11289314359927789,0.11289638559948348
2002-04-06,0.013990672305226326,1.236951231956482,0.16121058964963378,0.16126254326428438
2002-04-11,0.04789372906088829,0.4813459813594818,0.8023241238843766,0.8024981157295462
2002-04-16,0.13013087213039398,0.2431432157754898,0.3308910512689949,0.3324439175210803
2002-04-21,0.3365226089954376,0.2737724184989929,0.2681315447267611,0.2683584190939793
2002-04-26,0.6105775833129883,0.346902072429657,0.3862025520834444,0.3866094552987236
2002-05-01,0.7200136780738831,1.8698664903640747,0.45200637027978047,0.4527119618333725
2002-05-06,0.6613835096359253,0.539398193359375,0.47174515041645415,0.4724371509179411
2002-05-11,1.0893781185150146,0.5050062537193298,0.49958258390049076,0.5002888883226254
2002-05-16,2.2631735801696777,1.6683236360549927,0.48800935900656484,0.4886041787260808
2002-05-21,4.49608039855957,0.5705615878105164,1.190759096344062,1.1926719234626995
2002-05-26,1.3735384941101074,2.775763988494873,0.5036306201846664,0.5037056829444811
2002-06-01,7.361625671386719,16.700183868408203,14.05737260957413,14.044502384834626
2002-06-06,1.607506275177002,2.971372127532959,5.785067168801336,5.785024896800868
2002-06-11,15.429829597473145,10.495107650756836,16.292472096996264,16.27554171679436
2002-06-16,0.5738644599914551,5.835505962371826,1.5781262728623182,1.5768305159732696
2002-06-21,6.718804359436035,16.427047729492188,4.519308085509493,4.517905628104241
2002-06-26,14.102546691894531,15.674642562866211,3.59421864481481,3.5984195215419192
2002-07-01,8.871350288391113,5.904630184173584,9.196476147327065,9.170372246491821
2002-07-06,12.968035697937012,2.485653877258301,7.9073724399729155,7.928000622379052
2002-07-11,9.937479972839355,4.305160999298096,10.514007739249006,10.516475022330443
2002-07-16,4.682986736297607,16.07977294921875,22.952886840367977,22.958920058401244
2002-07-21,20.740053176879883,8.495635032653809,24.220818822517433,24.217024998800476
2002-07-26,51.39888381958008,51.684444427490234,30.7975601845167,30.806601885641015
2002-08-01,14.760760307312012,13.319170951843262,36.2856552324841,36.33133187162615
2002-08-06,3.2339069843292236,14.893075942993164,27.125475947885885,27.121988751338403
2002-08-11,15.467621803283691,47.20269012451172,35.75475666967947,35.7567575380026
